"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5941","0.0-0.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","","","","","",""
"","","","","","instructions","1","16565","0.0-1.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","[{""page_index"":0,""viewing_time"":10624}]","10624","","","","",""
"","","","","","instructions","2","19857","0.0-2.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","[{""page_index"":0,""viewing_time"":3290}]","3290","","","","",""
"true","","","","","fullscreen","3","21960","0.0-3.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","1101","","","","",""
"","","","","","initialize-microphone","4","27887","0.0-4.0-0.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","","c1c50d41b55329731c23a3a59e94ebd7a926764a32b753a4213393117c3a91ce","","","",""
"","","","","","html-audio-response","5","39276","0.0-4.0-1.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","1563","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","40229","0.0-4.0-2.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","951","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","43002","0.0-5.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","[{""page_index"":0,""viewing_time"":1500},{""page_index"":1,""viewing_time"":1272}]","2772","","","","",""
"","","","","","image-button-response","8","49013","0.0-6.0-0.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","53519","0.0-6.0-1.0-0.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","55787","0.0-6.0-1.0-1.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","2265","","images/instructions/movie_1.png","1","",""
"","","","","","image-button-response","11","57590","0.0-6.0-1.0-2.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","[]","null","",""
"","","","","","image-button-response","12","62095","0.0-6.0-1.0-0.1","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","64143","0.0-6.0-1.0-1.1","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","2045","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","65950","0.0-6.0-1.0-2.1","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","[]","null","",""
"","","","","","image-button-response","15","70453","0.0-6.0-1.0-0.2","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","72398","0.0-6.0-1.0-1.2","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","1942","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","74203","0.0-6.0-1.0-2.2","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","[]","null","",""
"","","","","","image-button-response","18","78710","0.0-6.0-1.0-0.3","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","81020","0.0-6.0-1.0-1.3","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","2308","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","82826","0.0-6.0-1.0-2.3","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","[]","null","",""
"","","","","","instructions","21","86452","0.0-7.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","[{""page_index"":0,""viewing_time"":2405},{""page_index"":1,""viewing_time"":1220}]","3625","","","","",""
"","","","","","html-audio-response","22","108912","0.0-8.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","6387","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, as many as you can remember. The images can be said in any order.</p>""]","","8",""
"","","","","","instructions","23","110348","0.0-9.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","[{""page_index"":0,""viewing_time"":1432}]","1432","","","","",""
"","","","","","image-button-response","24","116359","0.0-10.0-0.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_0.png","null","",""
"","","","","","image-button-response","25","120863","0.0-10.0-1.0-0.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","null","","images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_7.png","null","",""
"","","","","","image-button-response","26","122248","0.0-10.0-1.0-1.0","0E7FE8DDAD4645F8AACC65158ED9326B","0E7FE8DDAD4645F8AACC65158ED9326B","c6ae9813-7a4a-4592-81ac-f95a2491a847","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""0E7FE8DDAD4645F8AACC65158ED9326B"",""assignmentId"":""c6ae9813-7a4a-4592-81ac-f95a2491a847"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=0E7FE8DDAD4645F8AACC65158ED9326B&assignmentId=c6ae9813-7a4a-4592-81ac-f95a2491a847&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","0E7FE8DDAD4645F8AACC65158ED9326B-2025-08-07-19-07-18","","1382","","images/causal_sequence/saving_a_cat_causal/saving_a_cat_causal_7.png","0","",""
