"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","5298","0.0-0.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","","","","","",""
"","","","","","instructions","1","30516","0.0-1.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","[{""page_index"":0,""viewing_time"":25217}]","25217","","","","",""
"","","","","","instructions","2","54807","0.0-2.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","[{""page_index"":0,""viewing_time"":24291}]","24291","","","","",""
"true","","","","","fullscreen","3","57436","0.0-3.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","1614","","","","",""
"","","","","","initialize-microphone","4","66168","0.0-4.0-0.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","","1e69c7a1bdce9da83d2fe699e7e0da41fbafc26fb0931a9c388c2a099a5fa544","","","",""
"","","","","","html-audio-response","5","83820","0.0-4.0-1.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","9459","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","3",""
"","","","","","html-button-response","6","85195","0.0-4.0-2.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","1375","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","91242","0.0-5.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","[{""page_index"":0,""viewing_time"":1928},{""page_index"":1,""viewing_time"":4119}]","6047","","","","",""
"","","","","","image-button-response","8","97255","0.0-6.0-0.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","101762","0.0-6.0-1.0-0.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","103517","0.0-6.0-1.0-1.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","1753","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","105318","0.0-6.0-1.0-2.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","[]","null","",""
"","","","","","image-button-response","12","109820","0.0-6.0-1.0-0.1","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","110832","0.0-6.0-1.0-1.1","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","1011","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","112639","0.0-6.0-1.0-2.1","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","[]","null","",""
"","","","","","image-button-response","15","117148","0.0-6.0-1.0-0.2","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","117853","0.0-6.0-1.0-1.2","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","704","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","119655","0.0-6.0-1.0-2.2","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","[]","null","",""
"","","","","","image-button-response","18","124156","0.0-6.0-1.0-0.3","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","125153","0.0-6.0-1.0-1.3","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","996","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","126957","0.0-6.0-1.0-2.3","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","[]","null","",""
"","","","","","instructions","21","134888","0.0-7.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","[{""page_index"":0,""viewing_time"":6956},{""page_index"":1,""viewing_time"":975}]","7931","","","","",""
"","","","","","html-audio-response","22","152077","0.0-8.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","8840","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw in the exact order you saw them. Try to recall as many images as you can, but remember: getting the order right is more important than the number of images you recall.</p>""]","","4",""
"","","","","","instructions","23","153011","0.0-9.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","[{""page_index"":0,""viewing_time"":932}]","932","","","","",""
"","","","","","image-button-response","24","159012","0.0-10.0-0.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/causal_sequence/coin_causal/coin_causal_0.png","null","",""
"","","","","","image-button-response","25","163516","0.0-10.0-1.0-0.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/causal_sequence/coin_causal/coin_causal_7.png","null","",""
"","","","","","image-button-response","26","165026","0.0-10.0-1.0-1.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","1510","","images/causal_sequence/coin_causal/coin_causal_7.png","1","",""
"","","","","","image-button-response","27","166843","0.0-10.0-1.0-2.0","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","[]","null","",""
"","","","","","image-button-response","28","171348","0.0-10.0-1.0-0.1","18A81CA8EB16496187F786A35105372D","18A81CA8EB16496187F786A35105372D","d46309fe-ec37-4297-942e-9ff8dd8007b8","9076ac92-be42-43a2-9634-8b67c7fe93a7","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""18A81CA8EB16496187F786A35105372D"",""assignmentId"":""d46309fe-ec37-4297-942e-9ff8dd8007b8"",""projectId"":""9076ac92-be42-43a2-9634-8b67c7fe93a7""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=18A81CA8EB16496187F786A35105372D&assignmentId=d46309fe-ec37-4297-942e-9ff8dd8007b8&projectId=9076ac92-be42-43a2-9634-8b67c7fe93a7","18A81CA8EB16496187F786A35105372D-2025-05-22-19-51-04","","null","","images/causal_sequence/coin_causal/coin_causal_3.png","null","",""
