"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","6207","0.0-0.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","","","","","",""
"","","","","","instructions","1","26013","0.0-1.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","[{""page_index"":0,""viewing_time"":19803}]","19804","","","","",""
"","","","","","instructions","2","29896","0.0-2.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","[{""page_index"":0,""viewing_time"":3860}]","3861","","","","",""
"true","","","","","fullscreen","3","32836","0.0-3.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","1902","","","","",""
"","","","","","initialize-microphone","4","40311","0.0-4.0-0.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","","d3279c7be92a358d2dcd2f3ce9ad943baedb188fb6c8158eb18b3349130865ca","","","",""
"","","","","","html-audio-response","5","61047","0.0-4.0-1.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","5277","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","15",""
"","","","","","html-button-response","6","62502","0.0-4.0-2.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","1453","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","77807","0.0-5.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","[{""page_index"":0,""viewing_time"":2945},{""page_index"":1,""viewing_time"":12358}]","15304","","","","",""
"","","","","","image-button-response","8","83825","0.0-6.0-0.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","88340","0.0-6.0-1.0-0.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","91068","0.0-6.0-1.0-1.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","2726","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","92885","0.0-6.0-1.0-2.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","[]","null","",""
"","","","","","image-button-response","12","97401","0.0-6.0-1.0-0.1","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","99889","0.0-6.0-1.0-1.1","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","2486","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","101700","0.0-6.0-1.0-2.1","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","[]","null","",""
"","","","","","image-button-response","15","106210","0.0-6.0-1.0-0.2","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","107220","0.0-6.0-1.0-1.2","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","1009","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","109035","0.0-6.0-1.0-2.2","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","[]","null","",""
"","","","","","image-button-response","18","113553","0.0-6.0-1.0-0.3","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","114538","0.0-6.0-1.0-1.3","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","984","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","116351","0.0-6.0-1.0-2.3","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","[]","null","",""
"","","","","","instructions","21","122133","0.0-7.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","[{""page_index"":0,""viewing_time"":4689},{""page_index"":1,""viewing_time"":1092}]","5781","","","","",""
"","","","","","html-audio-response","22","189190","0.0-8.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","37530","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, as many as you can remember. The images can be said in any order.</p>""]","","10",""
"","","","","","instructions","23","190881","0.0-9.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","[{""page_index"":0,""viewing_time"":1681}]","1681","","","","",""
"","","","","","image-button-response","24","196887","0.0-10.0-0.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_0.png","null","",""
"","","","","","image-button-response","25","201398","0.0-10.0-1.0-0.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_3.png","null","",""
"","","","","","image-button-response","26","203093","0.0-10.0-1.0-1.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","1693","","images/schematic_sequence/dinner_party_scheme/dinner_party_scheme_3.png","0","",""
"","","","","","image-button-response","27","204898","0.0-10.0-1.0-2.0","4FB4D02C1BDF440B86B1911D9BFA715F","4FB4D02C1BDF440B86B1911D9BFA715F","c60fe244-bd1e-4983-a6df-6770a1e36203","051c06f1-75cc-4548-856d-4923ddaba0dc","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""4FB4D02C1BDF440B86B1911D9BFA715F"",""assignmentId"":""c60fe244-bd1e-4983-a6df-6770a1e36203"",""projectId"":""051c06f1-75cc-4548-856d-4923ddaba0dc""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=4FB4D02C1BDF440B86B1911D9BFA715F&assignmentId=c60fe244-bd1e-4983-a6df-6770a1e36203&projectId=051c06f1-75cc-4548-856d-4923ddaba0dc","4FB4D02C1BDF440B86B1911D9BFA715F-2025-05-15-19-26-30","","null","","[]","null","",""
