"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","218811","0.0-0.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","","","","","",""
"","","","","","instructions","1","258231","0.0-1.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","[{""page_index"":0,""viewing_time"":39418}]","39419","","","","",""
"","","","","","instructions","2","288602","0.0-2.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","[{""page_index"":0,""viewing_time"":30369}]","30369","","","","",""
"true","","","","","fullscreen","3","454615","0.0-3.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","164990","","","","",""
"","","","","","initialize-microphone","4","466467","0.0-4.0-0.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","","8d93b9ab461b9550b50e19b78e41db10c30f4e6f4ca518a3d1b0430bfee9fad8","","","",""
"","","","","","html-audio-response","5","508494","0.0-4.0-1.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","3703","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","2",""
"","","","","","html-button-response","6","510887","0.0-4.0-2.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","2391","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","526189","0.0-5.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","[{""page_index"":0,""viewing_time"":7648},{""page_index"":1,""viewing_time"":7652}]","15300","","","","",""
"","","","","","image-button-response","8","532202","0.0-6.0-0.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","536711","0.0-6.0-1.0-0.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","540175","0.0-6.0-1.0-1.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","3461","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","541979","0.0-6.0-1.0-2.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","[]","null","",""
"","","","","","image-button-response","12","546496","0.0-6.0-1.0-0.1","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","548235","0.0-6.0-1.0-1.1","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","1736","","images/instructions/movie_2.png","0","",""
"","","","","","image-button-response","14","550041","0.0-6.0-1.0-2.1","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","[]","null","",""
"","","","","","image-button-response","15","554557","0.0-6.0-1.0-0.2","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","555698","0.0-6.0-1.0-1.2","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","1137","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","557509","0.0-6.0-1.0-2.2","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","[]","null","",""
"","","","","","image-button-response","18","562023","0.0-6.0-1.0-0.3","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","563851","0.0-6.0-1.0-1.3","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","1825","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","565672","0.0-6.0-1.0-2.3","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","[]","null","",""
"","","","","","instructions","21","575108","0.0-7.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","[{""page_index"":0,""viewing_time"":7235},{""page_index"":1,""viewing_time"":2201}]","9435","","","","",""
"","","","","","html-audio-response","22","602558","0.0-8.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","14547","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, as many as you can remember. The images can be said in any order.</p>""]","","2",""
"","","","","","instructions","23","605254","0.0-9.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","[{""page_index"":0,""viewing_time"":2687}]","2687","","","","",""
"","","","","","image-button-response","24","611272","0.0-10.0-0.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/causal_sequence/coin_causal/coin_causal_0.png","null","",""
"","","","","","image-button-response","25","615782","0.0-10.0-1.0-0.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/causal_sequence/coin_causal/coin_causal_1.png","null","",""
"","","","","","image-button-response","26","618270","0.0-10.0-1.0-1.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","2482","","images/causal_sequence/coin_causal/coin_causal_1.png","0","",""
"","","","","","image-button-response","27","620082","0.0-10.0-1.0-2.0","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","[]","null","",""
"","","","","","image-button-response","28","624591","0.0-10.0-1.0-0.1","42166007888848DC85F1A0DFDF5645C8","42166007888848DC85F1A0DFDF5645C8","e1f5d8f8-37d7-4519-b655-d791572f2884","a9f3d40c-5730-405c-b25e-1034c4c56f3f","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""42166007888848DC85F1A0DFDF5645C8"",""assignmentId"":""e1f5d8f8-37d7-4519-b655-d791572f2884"",""projectId"":""a9f3d40c-5730-405c-b25e-1034c4c56f3f""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=42166007888848DC85F1A0DFDF5645C8&assignmentId=e1f5d8f8-37d7-4519-b655-d791572f2884&projectId=a9f3d40c-5730-405c-b25e-1034c4c56f3f","42166007888848DC85F1A0DFDF5645C8-2025-08-07-19-14-44","","null","","images/causal_sequence/coin_causal/coin_causal_2.png","null","",""
