"success","timeout","failed_images","failed_audio","failed_video","trial_type","trial_index","time_elapsed","internal_node_id","subject","subject_id","study_id","session_id","urlvar","current_url","audio_id","view_history","rt","device_id","stimulus","response","estimated_stimulus_onset","seq_name"
"true","false","[]","[]","[]","preload","0","7603","0.0-0.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","","","","","",""
"","","","","","instructions","1","52744","0.0-1.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","[{""page_index"":0,""viewing_time"":45140}]","45140","","","","",""
"","","","","","instructions","2","55288","0.0-2.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","[{""page_index"":0,""viewing_time"":2543}]","2543","","","","",""
"true","","","","","fullscreen","3","58091","0.0-3.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","1794","","","","",""
"","","","","","initialize-microphone","4","65088","0.0-4.0-0.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","","5aad9ff5d24b5efb3f245e5bf30d9a5ff0175fba7f8ae4b5e0c91dfd96cfd2e3","","","",""
"","","","","","html-audio-response","5","79745","0.0-4.0-1.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","5802","","<span style=""color: red; font-size: 24px""> NOW RECORDING</span>
        <p>Please test Microphone</p>","","16",""
"","","","","","html-button-response","6","81250","0.0-4.0-2.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","1504","","<p style=""font-size:48px; color:red;"">Is Microphone OK?</p>","1","",""
"","","","","","instructions","7","92175","0.0-5.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","[{""page_index"":0,""viewing_time"":3654},{""page_index"":1,""viewing_time"":7269}]","10923","","","","",""
"","","","","","image-button-response","8","98189","0.0-6.0-0.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/instructions/movie_0.png","null","",""
"","","","","","image-button-response","9","102691","0.0-6.0-1.0-0.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/instructions/movie_1.png","null","",""
"","","","","","image-button-response","10","105568","0.0-6.0-1.0-1.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","2875","","images/instructions/movie_1.png","0","",""
"","","","","","image-button-response","11","107388","0.0-6.0-1.0-2.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","[]","null","",""
"","","","","","image-button-response","12","111891","0.0-6.0-1.0-0.1","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","13","115906","0.0-6.0-1.0-1.1","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/instructions/movie_2.png","null","",""
"","","","","","image-button-response","14","117722","0.0-6.0-1.0-2.1","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","[]","null","",""
"","","","","","image-button-response","15","122224","0.0-6.0-1.0-0.2","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/instructions/movie_3.png","null","",""
"","","","","","image-button-response","16","122905","0.0-6.0-1.0-1.2","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","679","","images/instructions/movie_3.png","0","",""
"","","","","","image-button-response","17","124707","0.0-6.0-1.0-2.2","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","[]","null","",""
"","","","","","image-button-response","18","129221","0.0-6.0-1.0-0.3","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/instructions/movie_4.png","null","",""
"","","","","","image-button-response","19","130091","0.0-6.0-1.0-1.3","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","869","","images/instructions/movie_4.png","0","",""
"","","","","","image-button-response","20","131904","0.0-6.0-1.0-2.3","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","[]","null","",""
"","","","","","instructions","21","141953","0.0-7.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","[{""page_index"":0,""viewing_time"":8941},{""page_index"":1,""viewing_time"":1107}]","10049","","","","",""
"","","","","","html-audio-response","22","172121","0.0-8.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","18794","","[""<span style=\""color: red; font-size: 24px\""> NOW RECORDING</span><p>Please say out loud all the images you saw, as many as you can remember. The images can be said in any order.</p>""]","","12",""
"","","","","","instructions","23","173312","0.0-9.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","[{""page_index"":0,""viewing_time"":1187}]","1187","","","","",""
"","","","","","image-button-response","24","179318","0.0-10.0-0.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_0.png","null","",""
"","","","","","image-button-response","25","183822","0.0-10.0-1.0-0.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_3.png","null","",""
"","","","","","image-button-response","26","186286","0.0-10.0-1.0-1.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","2463","","images/semantic_sequence/visiting_cities_semantic/visiting_cities_semantic_3.png","1","",""
"","","","","","image-button-response","27","188087","0.0-10.0-1.0-2.0","CF3FDC171B364B7FBED6300012D923EB","CF3FDC171B364B7FBED6300012D923EB","5fd6ea35-82e1-41ce-8bf3-8041955f3e17","ba640c14-69c5-453e-80b2-29051492c0e0","{""num_scrambled_semantic"":""8"",""num_scrambled_causal"":""4"",""num_scrambled_schematic"":""4"",""participantId"":""CF3FDC171B364B7FBED6300012D923EB"",""assignmentId"":""5fd6ea35-82e1-41ce-8bf3-8041955f3e17"",""projectId"":""ba640c14-69c5-453e-80b2-29051492c0e0""}","https://test12345.live/?num_scrambled_semantic=8&num_scrambled_causal=4&num_scrambled_schematic=4&participantId=CF3FDC171B364B7FBED6300012D923EB&assignmentId=5fd6ea35-82e1-41ce-8bf3-8041955f3e17&projectId=ba640c14-69c5-453e-80b2-29051492c0e0","CF3FDC171B364B7FBED6300012D923EB-2025-05-14-20-58-14","","null","","[]","null","",""
